db_id	protein_name
toxin_T10176	type I toxin
toxin_T10177	mazF
toxin_T10178	sam-T
toxin_T10179	doc
toxin_T10180	AbiEi
toxin_T10181	relE
toxin_T10182	relE
toxin_T10183	zeta
toxin_T10184	Fic
toxin_T10185	Fic
toxin_T10186	VbhT
toxin_T10187	MvpT
toxin_T10188	brnT
toxin_T10190	relE
toxin_T10191	relE
toxin_T10192	PhoH
toxin_T10197	vagD
toxin_T10198	ykfI
toxin_T10199	yfjZ
toxin_T10200	asrE
toxin_T10201	bsrH
toxin_T10202	holin
toxin_T10203	holin
toxin_T10204	pepG1
toxin_T10205	holin
toxin_T10206	Derived
toxin_T10207	holin
toxin_T10208	hokA
toxin_T10209	mokC
toxin_T10210	uncharacterized toxin (H. alvei)
toxin_T10211	uncharacterized toxin (E. coli)
toxin_T10213	uncharacterized toxin (E. coli)
toxin_T10214	uncharacterized toxin (H. pylori)
toxin_T10216	uncharacterized toxin (H. pylori)
toxin_T10217	uncharacterized toxin (H. pylori)
toxin_T10218	ralR
toxin_T10219	ydaC
toxin_T103	higB
toxin_T1038	yafQ
toxin_T1039	hicA
toxin_T1040	hipA
toxin_T1041	relE
toxin_T1042	cbtA
toxin_T1043	yoeB
toxin_T1044	mazF
toxin_T1045	mqsR
toxin_T1046	higB
toxin_T1047	yhaV
toxin_T1049	chpB
toxin_T105	parE
toxin_T106	mbcT
toxin_T1066	vapC
toxin_T1067	toxT
toxin_T107	vapC
toxin_T1070	vapC
toxin_T1073	mazF
toxin_T1074	yoeB
toxin_T1075	relE
toxin_T1076	pemK
toxin_T111	vapC
toxin_T112	vapC
toxin_T114	vapC
toxin_T116	vapC
toxin_T117	vapC
toxin_T119	vapC
toxin_T120	novel[antitoxin]
toxin_T121	vapC
toxin_T1222	Xre
toxin_T123	vapC
toxin_T124	relE
toxin_T125	vapC
toxin_T127	higB
toxin_T129	vapC
toxin_T130	relE
toxin_T131	vapC
toxin_T132	vapC
toxin_T1325	hicA
toxin_T134	mazF
toxin_T137	mazF
toxin_T1499	pemK
toxin_T1547	brnT
toxin_T162	mqsR
toxin_T164	parE
toxin_T165	GNAT
toxin_T166	relE
toxin_T167	BrnT
toxin_T168	relE
toxin_T169	parE
toxin_T171	higB
toxin_T172	relE
toxin_T1729	pasB
toxin_T173	relE
toxin_T174	higB
toxin_T175	relE
toxin_T177	TacA
toxin_T178	relE
toxin_T180	parE
toxin_T1818	DUF2281
toxin_T182	vapC
toxin_T183	PfiT
toxin_T1852	pemK
toxin_T190	ccdB
toxin_T199	ataT
toxin_T200	ataT
toxin_T2224	brnT
toxin_T226	relE
toxin_T228	parE
toxin_T229	relE
toxin_T233	parE
toxin_T2427	yoeB
toxin_T28	relE
toxin_T301	relE
toxin_T3011	RES
toxin_T303	higB
toxin_T307	Xre
toxin_T309	parE
toxin_T310	yoeB
toxin_T313	PP_4152
toxin_T314	mqsR
toxin_T3165	vapC
toxin_T325	higB
toxin_T326	relE
toxin_T3306	vapC
toxin_T3484	RES
toxin_T3593	hicA
toxin_T3856	vapC
toxin_T3858	vapC
toxin_T4244	Derived
toxin_T4250	vapC
toxin_T439	vapC
toxin_T443	tacT
toxin_T4502	itaT
toxin_T4914	vapC
toxin_T4918	relE
toxin_T4922	vapC
toxin_T4923	vapC
toxin_T516	vapC
toxin_T535	vapC
toxin_T6021	mosT
toxin_T6022	Txe
toxin_T6023	relE
toxin_T6024	zeta
toxin_T6025	tad
toxin_T6029	spoIISA
toxin_T6030	yxiD
toxin_T6031	abiEi
toxin_T6032	PsyrT
toxin_T6033	sanaT
toxin_T6034	pmenT
toxin_T6035	rlegT
toxin_T6037	pezA
toxin_T6038	tad
toxin_T6075	rnlA
toxin_T6078	lsoA
toxin_T6080	zeta
toxin_T6081	AbkB
toxin_T6083	graT
toxin_T6086	shpA
toxin_T6087	higB
toxin_T6088	higB
toxin_T6090	mazF
toxin_T6091	pemK
toxin_T6093	doc
toxin_T6097	relE
toxin_T6098	Xre
toxin_T6099	ghoS
toxin_T6104	zeta
toxin_T6105	relE
toxin_T6106	relE
toxin_T6107	hicA
toxin_T6108	hipA
toxin_T6109	ccdB
toxin_T611	Derived
toxin_T6111	vagD
toxin_T6112	vagD
toxin_T6113	vapC
toxin_T6114	relE
toxin_T612	mazF
toxin_T6120	pemK
toxin_T6122	yoeB
toxin_T6124	higB
toxin_T6127	relE
toxin_T6128	relE
toxin_T613	relE
toxin_T6130	stbE
toxin_T6131	relE
toxin_T6134	relE
toxin_T6135	pemK
toxin_T6136	pemK
toxin_T6137	mazF
toxin_T6138	yoeB
toxin_T6139	relE
toxin_T614	relE
toxin_T6146	higB
toxin_T6157	yafO
toxin_T6240	darT
toxin_T6241	vapC
toxin_T6245	vapC
toxin_T6246	vapC
toxin_T6247	mazF
toxin_T6248	mazF
toxin_T6249	parE
toxin_T6252	mazF
toxin_T6253	uncharacterized toxin (M. tuberculosis)
toxin_T6256	relE
toxin_T6257	relE
toxin_T6258	mazF
toxin_T6259	mazF
toxin_T6260	mazF
toxin_T6261	relE
toxin_T6278	uncharacterized toxin (E. faecalis)
toxin_T6279	yjhX
toxin_T6280	sezT
toxin_T6281	yoeB
toxin_T6282	pezT
toxin_T6283	hicA
toxin_T6285	relE
toxin_T6286	virT
toxin_T6287	PemK
toxin_T6288	avrRxo1
toxin_T6289	relE
toxin_T6297	spoIISA
toxin_T6317	Derived
toxin_T6319	AbiEi
toxin_T6320	AbiEii
toxin_T6321	bsrG
toxin_T6322	txpA
toxin_T6323	yoyJ
toxin_T6323b	yonU
toxin_T6324	AA
toxin_T6329	ldrA
toxin_T6330	ldrB
toxin_T6332	ldrD
toxin_T6350	tisB
toxin_T6351	symE
toxin_T6353	sibA
toxin_T6354	sibB
toxin_T6355	sibC
toxin_T6356	sibD
toxin_T6357	sibE
toxin_T6358	shoB
toxin_T6359	RNAII
toxin_T6360	pepG1
toxin_T6361	uncharacterized toxin (E. coli)
toxin_T6362	rcbA
toxin_T6363	component
toxin_T6364	dinQ
toxin_T6365	abiQ
toxin_T6366	ToxN
toxin_T6367	socB
toxin_T6368	fldB
toxin_T6369	Hok
toxin_T6370	Hok
